"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2018","14.455","14.240","14.490","14.205","59.33K","1.65%"
"Nov 27, 2018","14.221","14.335","14.405","14.185","41.22K","-0.85%"
"Nov 26, 2018","14.343","14.420","14.545","14.320","44.14K","-0.40%"
"Nov 25, 2018","14.400","14.405","14.425","14.390","-","0.23%"
"Nov 23, 2018","14.367","14.610","14.645","14.285","35.63K","-0.71%"
"Nov 22, 2018","14.470","14.475","14.520","14.435","-","-1.06%"
"Nov 21, 2018","14.625","14.440","14.660","14.380","21.11K","1.64%"
"Nov 20, 2018","14.389","14.535","14.595","14.330","36.25K","-0.95%"
"Nov 19, 2018","14.527","14.525","14.545","14.450","15.16K","0.95%"
"Nov 18, 2018","14.390","14.400","14.400","14.375","-","-0.82%"
"Nov 16, 2018","14.509","14.385","14.525","14.340","15.52K","0.85%"
"Nov 15, 2018","14.386","14.225","14.455","14.195","11.62K","1.29%"
"Nov 14, 2018","14.203","14.095","14.290","13.985","10.94K","0.74%"
"Nov 13, 2018","14.098","14.105","14.205","14.045","11.67K","0.62%"
"Nov 12, 2018","14.011","14.150","14.180","13.955","72.08K","-1.05%"
"Nov 11, 2018","14.160","14.130","14.160","14.130","-","0.14%"
"Nov 09, 2018","14.140","14.420","14.425","14.080","116.98K","-1.96%"
"Nov 08, 2018","14.423","14.570","14.575","14.365","91.31K","-1.00%"
"Nov 07, 2018","14.569","14.540","14.730","14.475","83.28K","0.48%"
"Nov 06, 2018","14.500","14.660","14.715","14.480","69.78K","-1.00%"
"Nov 05, 2018","14.647","14.740","14.775","14.595","67.84K","-0.80%"
"Nov 04, 2018","14.765","14.745","14.770","14.745","-","0.06%"
"Nov 02, 2018","14.756","14.780","14.920","14.655","106.74K","-0.14%"
"Nov 01, 2018","14.777","14.260","14.830","14.255","121.88K","3.47%"
"Oct 31, 2018","14.282","14.480","14.490","14.240","79.22K","-1.24%"
"Oct 30, 2018","14.462","14.470","14.530","14.375","76.30K","0.14%"
"Oct 29, 2018","14.442","14.720","14.780","14.405","93.78K","-1.82%"
"Oct 28, 2018","14.710","14.720","14.740","14.710","-","0.07%"
"Oct 26, 2018","14.700","14.660","14.795","14.595","84.75K","0.48%"
"Oct 25, 2018","14.630","14.720","14.800","14.610","70.47K","-0.31%"
"Oct 24, 2018","14.676","14.775","14.830","14.660","64.15K","-0.79%"
"Oct 23, 2018","14.793","14.585","14.840","14.540","86.18K","1.41%"
"Oct 22, 2018","14.587","14.650","14.715","14.540","57.81K","-0.53%"
"Oct 21, 2018","14.665","14.680","14.680","14.655","-","0.10%"
"Oct 19, 2018","14.650","14.600","14.740","14.580","57.03K","0.31%"
"Oct 18, 2018","14.604","14.625","14.680","14.470","76.14K","-0.40%"
"Oct 17, 2018","14.663","14.675","14.760","14.615","59.83K","-0.26%"
"Oct 16, 2018","14.701","14.725","14.880","14.640","67.28K","-0.18%"
"Oct 15, 2018","14.727","14.625","14.805","14.615","64.04K","0.46%"
"Oct 14, 2018","14.660","14.620","14.675","14.620","-","0.17%"
"Oct 12, 2018","14.635","14.620","14.735","14.540","70.70K","0.20%"
"Oct 11, 2018","14.606","14.335","14.650","14.275","97.85K","1.95%"
"Oct 10, 2018","14.326","14.420","14.455","14.255","61.50K","-0.51%"
"Oct 09, 2018","14.400","14.420","14.470","14.285","65.02K","0.50%"
"Oct 08, 2018","14.329","14.665","14.700","14.285","88.56K","-2.39%"
"Oct 07, 2018","14.680","14.665","14.695","14.665","-","0.21%"
"Oct 05, 2018","14.649","14.620","14.750","14.540","61.93K","0.40%"
"Oct 04, 2018","14.590","14.665","14.805","14.560","77.16K","-0.55%"
"Oct 03, 2018","14.670","14.730","14.855","14.650","66.41K","-0.16%"
"Oct 02, 2018","14.693","14.535","14.950","14.470","106.11K","1.28%"
"Oct 01, 2018","14.507","14.725","14.725","14.395","84.97K","-1.21%"
"Sep 30, 2018","14.685","14.690","14.720","14.685","-","-0.18%"
"Sep 28, 2018","14.712","14.270","14.755","14.255","117.07K","2.95%"
"Sep 27, 2018","14.290","14.375","14.480","14.195","87.46K","-0.77%"
"Sep 26, 2018","14.401","14.500","14.545","14.340","88.58K","-0.63%"
"Sep 25, 2018","14.493","14.295","14.595","14.250","97.95K","1.06%"
"Sep 24, 2018","14.341","14.325","14.420","14.220","65.87K","0.29%"
"Sep 23, 2018","14.300","14.325","14.330","14.295","-","-0.41%"
"Sep 21, 2018","14.359","14.350","14.465","14.180","103.37K","0.38%"
"Sep 20, 2018","14.305","14.285","14.385","14.210","87.10K","0.18%"
"Sep 19, 2018","14.280","14.185","14.375","14.175","79.41K","0.67%"
"Sep 18, 2018","14.185","14.230","14.265","14.105","69.08K","-0.27%"
"Sep 17, 2018","14.223","14.095","14.285","14.065","56.91K","1.02%"
"Sep 16, 2018","14.080","14.095","14.100","14.070","-","-0.44%"
"Sep 14, 2018","14.142","14.215","14.315","14.070","66.73K","-0.72%"
"Sep 13, 2018","14.244","14.295","14.390","14.190","82.53K","-0.34%"
"Sep 12, 2018","14.293","14.160","14.315","14.105","83.95K","0.99%"
"Sep 11, 2018","14.153","14.200","14.265","13.965","81.31K","-0.20%"
"Sep 10, 2018","14.181","14.160","14.285","14.110","54.12K","-0.10%"
"Sep 09, 2018","14.195","14.170","14.205","14.170","-","0.18%"
"Sep 07, 2018","14.170","14.190","14.290","14.105","81.29K","-0.08%"
"Sep 06, 2018","14.181","14.220","14.340","14.130","72.88K","-0.27%"
"Sep 05, 2018","14.220","14.190","14.265","14.125","67.29K","0.28%"
"Sep 04, 2018","14.180","14.575","14.590","14.035","141.42K","-2.34%"
"Sep 03, 2018","14.520","14.560","14.590","14.430","-","-0.27%"
"Sep 02, 2018","14.560","14.565","14.575","14.550","-","0.02%"
"Aug 31, 2018","14.557","14.595","14.760","14.525","62.90K","-0.25%"
"Aug 30, 2018","14.594","14.780","14.825","14.545","81.13K","-1.46%"
"Aug 29, 2018","14.810","14.775","14.845","14.710","63.74K","-0.60%"
"Aug 28, 2018","14.899","14.980","15.070","14.735","63.00K","-0.49%"
"Aug 27, 2018","14.972","14.935","14.995","14.820","35.01K","0.96%"
"Aug 26, 2018","14.830","14.835","14.840","14.800","-","-0.48%"
"Aug 24, 2018","14.901","14.575","14.960","14.555","42.81K","1.77%"
"Aug 23, 2018","14.642","14.845","14.845","14.555","33.04K","-1.40%"
"Aug 22, 2018","14.850","14.860","14.965","14.770","41.11K","-0.07%"
"Aug 21, 2018","14.860","14.830","14.920","14.795","25.75K","0.66%"
"Aug 20, 2018","14.762","14.845","14.920","14.720","19.75K","-0.02%"
"Aug 19, 2018","14.765","14.750","14.775","14.740","-","0.27%"
"Aug 17, 2018","14.725","14.735","14.890","14.675","12.91K","-0.56%"
"Aug 16, 2018","14.808","14.530","14.920","14.405","17.82K","1.78%"
"Aug 15, 2018","14.549","15.155","15.165","14.445","23.68K","-3.97%"
"Aug 14, 2018","15.150","15.095","15.200","15.080","9.93K","0.47%"
"Aug 13, 2018","15.079","15.410","15.440","15.065","18.58K","-1.61%"
"Aug 12, 2018","15.325","15.310","15.345","15.310","-","-0.44%"
"Aug 10, 2018","15.393","15.565","15.565","15.385","14.18K","-1.08%"
"Aug 09, 2018","15.561","15.535","15.620","15.480","14.78K","0.20%"
"Aug 08, 2018","15.530","15.485","15.565","15.390","8.88K","0.37%"
"Aug 07, 2018","15.472","15.405","15.600","15.405","12.40K","0.17%"
"Aug 06, 2018","15.446","15.530","15.595","15.400","7.94K","-0.06%"
"Aug 05, 2018","15.455","15.425","15.455","15.425","-","-0.69%"
"Aug 03, 2018","15.562","15.415","15.665","15.345","7.33K","0.50%"
"Aug 02, 2018","15.484","15.510","15.580","15.395","9.19K","-0.46%"
"Aug 01, 2018","15.555","15.645","15.660","15.500","6.88K","0.35%"
"Jul 31, 2018","15.500","15.555","15.555","15.520","0.35K","0.16%"
"Jul 30, 2018","15.475","15.440","15.470","15.410","0.32K","-0.23%"
"Jul 29, 2018","15.510","15.500","15.530","15.490","-","0.48%"
"Jul 27, 2018","15.436","15.355","15.495","15.355","0.11K","-0.01%"
"Jul 26, 2018","15.438","15.570","15.570","15.375","0.10K","-0.61%"
"Jul 25, 2018","15.533","15.435","15.435","15.435","0.05K","0.45%"
"Jul 24, 2018","15.463","15.345","15.495","15.345","0.07K","0.62%"
"Jul 23, 2018","15.368","15.505","15.505","15.355","0.02K","-1.14%"
"Jul 22, 2018","15.545","15.555","15.555","15.515","-","0.36%"
"Jul 20, 2018","15.490","15.400","15.480","15.400","0.28K","0.98%"
"Jul 19, 2018","15.340","15.210","15.325","15.135","0.05K","-1.05%"
"Jul 18, 2018","15.503","15.420","15.420","15.355","0.03K","-0.28%"
"Jul 17, 2018","15.546","15.710","15.710","15.505","0.37K","-1.20%"
"Jul 16, 2018","15.735","15.725","15.730","15.725","0.01K","-0.63%"
"Jul 15, 2018","15.835","15.805","15.855","15.805","-","0.61%"
"Jul 13, 2018","15.739","15.905","15.905","15.710","0.06K","-1.00%"
"Jul 12, 2018","15.898","15.870","15.935","15.870","0.04K","1.06%"
"Jul 11, 2018","15.732","15.735","15.735","15.735","0.05K","-1.69%"
"Jul 10, 2018","16.003","16.003","16.003","16.003","0.04K","-0.31%"
"Jul 09, 2018","16.053","16.170","16.170","16.090","0.04K","-0.29%"
"Jul 08, 2018","16.100","16.070","16.100","16.070","-","0.74%"
"Jul 06, 2018","15.981","15.945","16.000","15.930","0.16K","-0.17%"
"Jul 05, 2018","16.008","16.075","16.105","15.895","0.21K","-0.76%"
"Jul 04, 2018","16.130","16.080","16.195","16.040","-","1.12%"
"Jul 03, 2018","15.952","15.790","15.980","15.740","0.33K","1.32%"
"Jul 02, 2018","15.744","16.055","16.055","15.730","1.01K","-2.57%"
"Jul 01, 2018","16.160","16.145","16.180","16.135","-","0.35%"
"Jun 29, 2018","16.104","15.965","16.115","15.910","2.77K","0.96%"
"Jun 28, 2018","15.951","16.035","16.095","15.880","28.82K","-1.16%"
"Jun 27, 2018","16.139","16.139","16.139","16.139","0.00K","-0.61%"
"Jun 26, 2018","16.238","16.238","16.238","16.238","0.00K","-0.43%"
"Jun 25, 2018","16.308","16.310","16.310","16.295","0.00K","-1.01%"
"Jun 24, 2018","16.475","16.455","16.485","16.435","-","0.22%"
"Jun 22, 2018","16.439","16.305","16.305","16.295","0.01K","0.82%"
"Jun 21, 2018","16.306","16.306","16.306","16.306","-","0.10%"
"Jun 20, 2018","16.289","16.289","16.289","16.289","-","-0.09%"
"Jun 19, 2018","16.303","16.305","16.330","16.300","0.12K","-0.66%"
"Jun 18, 2018","16.412","16.412","16.412","16.412","0.01K","-1.04%"
"Jun 17, 2018","16.585","16.545","16.590","16.540","-","0.81%"
"Jun 15, 2018","16.452","17.180","17.220","16.625","0.02K","-4.49%"
"Jun 14, 2018","17.226","17.120","17.285","17.115","0.10K","1.61%"
"Jun 13, 2018","16.953","17.035","17.070","17.035","0.01K","0.62%"
"Jun 12, 2018","16.849","16.849","16.849","16.849","-","-0.33%"
"Jun 11, 2018","16.905","16.870","16.910","16.870","0.02K","0.71%"
"Jun 10, 2018","16.785","16.820","16.825","16.770","-","0.55%"
"Jun 08, 2018","16.694","16.735","16.760","16.735","0.02K","-0.43%"
"Jun 07, 2018","16.766","16.725","16.865","16.680","0.02K","0.75%"
"Jun 06, 2018","16.642","16.465","16.465","16.455","0.09K","0.92%"
"Jun 05, 2018","16.491","16.355","16.495","16.355","0.02K","0.68%"
"Jun 04, 2018","16.379","16.379","16.379","16.379","0.04K","-0.19%"
"Jun 03, 2018","16.410","16.430","16.430","16.405","-","0.13%"
"Jun 01, 2018","16.388","16.388","16.388","16.388","0.01K","-0.09%"
"May 31, 2018","16.402","16.500","16.500","16.500","0.07K","-0.47%"
"May 30, 2018","16.479","16.340","16.505","16.260","0.40K","1.07%"
"May 29, 2018","16.305","16.400","16.400","16.400","0.13K","-1.15%"
"May 28, 2018","16.495","16.510","16.525","16.440","-","-0.09%"
"May 27, 2018","16.510","16.530","16.530","16.490","-","0.18%"
"May 25, 2018","16.481","16.550","16.550","16.535","0.06K","-0.84%"
"May 24, 2018","16.621","16.621","16.621","16.621","0.84K","1.73%"
"May 23, 2018","16.338","16.295","16.295","16.285","0.03K","-1.03%"
"May 22, 2018","16.508","16.540","16.540","16.540","0.07K","0.34%"
"May 21, 2018","16.452","16.450","16.460","16.450","0.02K","-0.02%"
"May 20, 2018","16.455","16.465","16.470","16.425","-","0.41%"
"May 18, 2018","16.387","16.380","16.405","16.380","0.03K","-0.16%"
"May 17, 2018","16.413","16.315","16.390","16.315","0.14K","0.71%"
"May 16, 2018","16.297","16.297","16.297","16.297","0.05K","0.64%"
"May 15, 2018","16.194","16.350","16.350","16.165","0.12K","-2.27%"
"May 14, 2018","16.570","16.650","16.650","16.550","0.07K","-0.93%"
"May 13, 2018","16.725","16.700","16.730","16.685","-","0.29%"
"May 11, 2018","16.676","16.725","16.725","16.725","0.08K","-0.02%"
"May 10, 2018","16.680","16.460","16.685","16.455","0.04K","1.35%"
"May 09, 2018","16.458","16.515","16.515","16.455","0.15K","0.43%"
"May 08, 2018","16.388","16.415","16.445","16.250","0.22K","-0.15%"
"May 07, 2018","16.413","16.490","16.505","16.390","0.31K","-0.74%"
"May 06, 2018","16.535","16.560","16.565","16.535","-","0.61%"
"May 04, 2018","16.434","16.405","16.440","16.330","0.30K","0.44%"
"May 03, 2018","16.362","16.370","16.530","16.340","0.64K","0.44%"
"May 02, 2018","16.291","16.190","16.450","16.190","0.88K","1.57%"
"May 01, 2018","16.039","16.280","16.285","16.000","1.41K","-1.67%"
"Apr 30, 2018","16.312","16.475","16.485","16.140","1.57K","-0.87%"
"Apr 29, 2018","16.455","16.475","16.475","16.455","-","0.30%"
"Apr 27, 2018","16.406","16.490","16.530","16.385","20.15K","-0.50%"
"Apr 26, 2018","16.488","16.488","16.488","16.488","-","0.01%"
"Apr 25, 2018","16.486","16.555","16.555","16.555","0.00K","-1.20%"
"Apr 24, 2018","16.687","16.660","16.660","16.660","0.01K","0.70%"
"Apr 23, 2018","16.571","16.825","16.830","16.825","0.02K","-3.01%"
"Apr 22, 2018","17.085","17.115","17.135","17.070","-","-0.36%"
"Apr 20, 2018","17.147","17.175","17.175","17.100","0.13K","-0.44%"
"Apr 19, 2018","17.222","17.170","17.170","17.170","0.00K","-0.05%"
"Apr 18, 2018","17.231","16.825","17.200","16.825","0.01K","2.74%"
"Apr 17, 2018","16.772","16.772","16.772","16.772","-","0.66%"
"Apr 16, 2018","16.662","16.662","16.662","16.662","0.12K","0.22%"
"Apr 15, 2018","16.625","16.660","16.670","16.565","-","-0.02%"
