,date,high,low,open,price
0,2018-11-30,1231.1,1225.8,1229.9,1226.7
1,2018-11-29,1234.9,1226.7,1227.1,1230.4
2,2018-11-28,1233.8,1216.8,1220.9,1229.8
3,2018-11-27,1231.7,1217.8,1228.5,1219.9
4,2018-11-26,1234.5,1228.0,1230.4,1228.7
5,2018-11-23,1235.5,1226.2,1232.8,1229.1
6,2018-11-22,1229.7,1225.5,1226.4,1228.0
7,2018-11-21,1236.7,1226.2,1228.7,1233.8
8,2018-11-20,1235.4,1226.1,1230.7,1227.0
9,2018-11-19,1232.2,1224.5,1229.0,1231.1
10,2018-11-16,1232.1,1220.3,1220.3,1229.0
11,2018-11-15,1222.8,1213.3,1217.7,1221.1
12,2018-11-14,1223.2,1204.0,1209.7,1216.0
13,2018-11-13,1211.3,1202.4,1207.7,1207.3
14,2018-11-12,1212.0,1200.6,1210.3,1203.5
15,2018-11-09,1224.6,1207.2,1224.3,1208.6
16,2018-11-08,1228.5,1220.8,1227.7,1225.1
17,2018-11-07,1238.4,1224.2,1228.9,1228.7
18,2018-11-06,1237.8,1224.9,1233.4,1226.3
19,2018-11-05,1236.8,1228.4,1234.5,1232.3
20,2018-11-02,1238.4,1231.3,1235.3,1233.3
21,2018-11-01,1239.3,1216.1,1216.6,1238.6
22,2018-10-31,1225.0,1213.4,1224.7,1215.0
23,2018-10-30,1232.5,1221.4,1231.9,1225.3
