,date,high,low,open,price
0,2018-11-30,14.41,14.265,14.395,14.305
1,2018-11-29,14.47,14.34,14.42,14.402
2,2018-11-28,14.49,14.205,14.24,14.455
3,2018-11-27,14.405,14.185,14.335,14.221
4,2018-11-26,14.545,14.32,14.42,14.343
5,2018-11-25,14.425,14.39,14.405,14.4
6,2018-11-23,14.645,14.285,14.61,14.367
7,2018-11-22,14.52,14.435,14.475,14.47
8,2018-11-21,14.66,14.38,14.44,14.625
9,2018-11-20,14.595,14.33,14.535,14.389
10,2018-11-19,14.545,14.45,14.525,14.527
11,2018-11-18,14.4,14.375,14.4,14.39
12,2018-11-16,14.525,14.34,14.385,14.509
13,2018-11-15,14.455,14.195,14.225,14.386
14,2018-11-14,14.29,13.985,14.095,14.203
15,2018-11-13,14.205,14.045,14.105,14.098
16,2018-11-12,14.18,13.955,14.15,14.011
17,2018-11-11,14.16,14.13,14.13,14.16
18,2018-11-09,14.425,14.08,14.42,14.14
19,2018-11-08,14.575,14.365,14.57,14.423
20,2018-11-07,14.73,14.475,14.54,14.569
21,2018-11-06,14.715,14.48,14.66,14.5
22,2018-11-05,14.775,14.595,14.74,14.647
23,2018-11-04,14.77,14.745,14.745,14.765
24,2018-11-02,14.92,14.655,14.78,14.756
25,2018-11-01,14.83,14.255,14.26,14.777
26,2018-10-31,14.49,14.24,14.48,14.282
27,2018-10-30,14.53,14.375,14.47,14.462
